Country,Australia,Austria,Belgium,Canada,Chile,Costa Rica,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Türkiye,United Kingdom,United States
Australia,1.0,-0.5790176902248773,-0.38177502158510185,-0.011876466525401013,-0.8481609714231175,-0.7792656243811724,-0.745759058565265,-0.2618989010882734,-0.9176449955957483,-0.6329654750151977,-0.25414761354466703,0.3019411409922106,-0.4099518140909165,-0.637475712591317,-0.8945950062142892,-0.5123017093897362,0.48226731920665045,-0.7730914287625211,-0.47972787981891024,-0.884228641226614,-0.8886395474032321,-0.4594131489275263,-0.9171008239688304,0.5338324859968391,-0.38401491351155403,0.09080225859853161,-0.4481460880940005,0.26637877676287397,-0.8748550138630283,-0.8595993619656352,0.27082406899971934,0.4465457658928354,-0.390410948991988,-0.7215558931152881,-0.4819656282028637,-0.6350896169077583
Austria,-0.5790176902248774,1.0,0.7492196821363767,-0.3615100244911663,0.8295942322666274,0.7311113918557227,0.8370304308375257,0.1687387706118141,0.6877829525775376,0.5521591805479578,0.24534167499130363,0.42413363020779843,-0.003311169736036887,0.16828039198544395,0.758305458360047,-0.008016175295041285,-0.3825695616530984,0.5292955512807153,0.31845492498720807,0.5389937226296595,0.7425767116090584,0.6883621391478915,0.5583836531875541,0.24338882941195378,0.10900579795654916,0.625426304893513,0.7621828375855034,-0.018934198549382202,0.7686062419193677,0.7634977692252175,-0.587116065172193,0.3811287482068748,0.3501819156222072,0.4488650750312568,0.20427082398361884,0.8437450879902753
Belgium,-0.3817750215851019,0.7492196821363767,1.0,-0.7002598633340685,0.7493529577618772,0.8206618716488033,0.680220031298893,0.18531481146942083,0.661563424992881,0.7263005350859484,-0.06449723325672571,0.5142644973009932,0.2707145443573925,0.2656296108243284,0.7059802802883388,-0.0014787501363758629,-0.38280220899192774,0.6879278536713105,0.47579110791416684,0.5789652846275464,0.7132167551158397,0.7855440359408085,0.5817443669597274,0.21147952443751034,0.34714714492912996,0.3654164116556202,0.6927400352815872,0.40112817190310746,0.7441750268651467,0.7576308188961695,-0.6500387802417561,0.47772581729626057,0.5103310437584405,0.45450987051438557,0.4418163254632397,0.9282161460370125
Canada,-0.011876466525401013,-0.3615100244911663,-0.7002598633340685,1.0,-0.3116908949457732,-0.31390983084363544,-0.21038983888252594,-0.18244025405802572,-0.20425437351093953,-0.3492055024873421,0.09067881062089041,-0.4143835640051556,-0.34454177086804055,-0.0440556347442454,-0.21399293376414522,-0.03166918235242277,0.1258646113729902,-0.25687108976264983,-0.12385426312607342,-0.18553653005852344,-0.21335149798483197,-0.2537817821340214,-0.10860913817827761,-0.36148898085362957,-0.09597926726415143,-0.4774472309721811,-0.0972419569007489,-0.5254409094852286,-0.233727789930197,-0.24263377907524372,0.13363142187685123,-0.5877692096530523,-0.17185892307554665,-0.043898310956181755,-0.45276450804176105,-0.6115880540503758
Chile,-0.8481609714231174,0.8295942322666275,0.749352957761877,-0.3116908949457732,1.0,0.9177769606530668,0.9043429144642112,0.22698419671310463,0.9411088915573687,0.8180885580339027,0.2456101304564663,0.14664649076409658,0.38072814002997396,0.5491260276678638,0.9629961872998232,0.36700657391629277,-0.53647145708309,0.8778545658679754,0.5511323187082081,0.8710997353297877,0.9568789780521102,0.6802217924880802,0.8995677686319405,-0.22580409690499714,0.4332225683579151,0.26077504698497483,0.6458526013072927,-0.11611976146573064,0.9633562976575051,0.9565026087628409,-0.5585664457481527,-0.036790768965887094,0.555186446368065,0.7048199633298291,0.45916142586431025,0.895655502995585
Costa Rica,-0.7792656243811724,0.7311113918557226,0.8206618716488033,-0.3139098308436355,0.9177769606530667,1.0,0.8905754343961063,0.35431300239045926,0.9082717874138245,0.8837009854683427,0.10962275976941072,0.09398030393880642,0.45196442422985844,0.4490996556610418,0.9324328813445898,0.1900991716139273,-0.3633348441136573,0.8768039387001425,0.5252643942718401,0.8304072143061361,0.9328613703850356,0.8363031856883685,0.9057866574644782,-0.28712260177744614,0.5908953260415444,0.030276716782514382,0.7234921397759075,0.010880725556044902,0.9518695068495598,0.9450148800215976,-0.6986683594646235,0.020685796119926526,0.6796419578275003,0.6522533028943375,0.38946893864497945,0.9094341859630016
Czech Republic,-0.745759058565265,0.8370304308375258,0.6802200312988929,-0.21038983888252594,0.9043429144642112,0.8905754343961062,1.0,0.3679248972670901,0.7825634542492532,0.8363264137456928,0.32919573142757586,0.11431639889957904,0.40486221094814834,0.192325625416232,0.8438233134546007,0.0923910487984814,-0.1781524382289037,0.694096380066864,0.28058497876219063,0.6566132540145413,0.8224244250986597,0.7996566985018585,0.7872122886770453,-0.2438879051199972,0.5909713647361622,0.25013068970056385,0.6704126695828349,-0.3162270341330287,0.8518673956372658,0.8248989516434522,-0.7172255077261863,0.13073534375340917,0.6864446508659595,0.450685911061329,0.07719905663736461,0.8417724659629386
Denmark,-0.2618989010882734,0.1687387706118141,0.18531481146942083,-0.1824402540580257,0.22698419671310466,0.35431300239045926,0.36792489726709016,1.0,0.22843412935843796,0.2528825130864273,0.43958663584723723,-0.2981504624088226,0.21294477516988883,-0.014270948346819561,0.24129283410848165,-0.1252056910980383,0.49327601998245624,0.26808173066903707,-0.03876297163012157,0.19894435885831918,0.21478630505927795,0.1085347604428048,0.22937833695793425,-0.23484005638087166,0.23904957642757604,-0.0072333443960158625,-0.034181038993415264,-0.10568656733888679,0.22377488176204938,0.18845247048858663,-0.45984616393708877,0.02437104170330287,0.5223799531376473,0.11075696191118574,-0.19751637889879328,0.3616975762547143
Estonia,-0.9176449955957482,0.6877829525775377,0.661563424992881,-0.20425437351093953,0.9411088915573685,0.9082717874138244,0.7825634542492532,0.22843412935843796,0.9999999999999999,0.7676632451227018,0.09048891080270438,-0.055649161715944404,0.35911963383235146,0.7028766163583523,0.9885750669977172,0.5000468820574527,-0.6043006130313497,0.9092054716585525,0.5942157743685532,0.9728660759302196,0.9917550255083367,0.5931529943407711,0.9648069500479857,-0.3637390344177406,0.37875104985891217,0.016819697428745055,0.6412986938473858,-0.04499210711015675,0.9829890422355007,0.9800046983429658,-0.4175245572877778,-0.27091970529485887,0.42863654330435835,0.7885507409301062,0.6045928160053587,0.8045694769216942
Finland,-0.6329654750151977,0.5521591805479578,0.7263005350859484,-0.3492055024873421,0.8180885580339028,0.8837009854683426,0.8363264137456928,0.2528825130864273,0.7676632451227018,1.0,-0.03216504146010748,0.03493673013461496,0.6503175804368622,0.3045354112849235,0.7967714769660771,0.3338367854675495,-0.21583586665324933,0.7779836947922564,0.254383375309099,0.7334243945469945,0.78907654135842,0.7608936436002094,0.8416688731883218,-0.4164373264263568,0.8067042432686917,-0.05180912945524459,0.584203493385421,-0.18594239568492862,0.8110326391415774,0.7871372790235116,-0.5715629025549482,0.01908762039136527,0.6483935882709115,0.36528395265896474,0.26805642135616065,0.7686584280409312
